QS_UNIT,UnitCO,Unit,Figure,SI,Sibar,Imperial,MKS,ENG Info,ENG Info short,Lengs,JPN Info,JPN Info short,Lengs,DEU Info,DEU Info short,Lengs,FRA Info,FRA Info short,Lengs,CHN Info,CHN Info short,Lengs,CHN Trad Info,CHN Trad Info short,Lengs,KOR Info,KOR Info short,Lengs,ESP Info,ESP Info short,Lengs,RUS Info,RUS Info short,Lengs,PORT Info,PORT Info short,Lengs,TURKISH Info,TURKISH Info short,Lengs,POL Info,POL Info Short,Lengs,ITAL Info,ITAL Info Short,Lengs,ESP EU Info,ESP EU Info short,Lengs,NHL Info,NHL Info short,Lengs,THAI Info,THAI Info short,Lengs, ,,,FunctionName,To SI Value,From SI Value,,
,0100,°C,1,0,0,0,0,Temperature (Reading),Temperature (Read),19,温度,,,Temperatur,,,Température,,,温度,,,溫度,,,온도,,,Temperatura (Lectura),Temp. (Lectura),,Температура,,,Temperatura (leitura),,,Sıcaklık (Okunan),,,Temperatura (Odczyt),,,Temperatura (rilevata),,,Temperatura (lectura),Temp. (lectura),,Temperatuur (aflezing),,,อุณหภูมิ (การอ่านค่า),,,,,,,1,1,UnitTemp,
,0101,°F,1,0,0,1,0,Temperature (Reading),Temperature (Read),19,温度,,,Temperatur,,,Température,,,温度,,,溫度,,,온도,,,Temperatura (Lectura),Temp. (Lectura),,Температура,,,Temperatura (leitura),,,Sıcaklık (Okunan),,,Temperatura (Odczyt),,,Temperatura (rilevata),,,Temperatura (lectura),Temp. (lectura),,Temperatuur (aflezing),,,อุณหภูมิ (การอ่านค่า),,,,,,C_F,1/1.8*(t-32),1.8*t+32,,
,0102,K,2,0,0,0,0,Temperature (Reading),Temperature (Read),19,温度,,,Temperatur,,,Température,,,温度,,,溫度,,,온도,,,Temperatura (Lectura),Temp. (Lectura),,Температура,,,Temperatura (leitura),,,Sıcaklık (Okunan),,,Temperatura (Odczyt),,,Temperatura (rilevata),,,Temperatura (lectura),Temp. (lectura),,Temperatuur (aflezing),,,อุณหภูมิ (การอ่านค่า),,,,,,C_K,k-273.15,t+273.15,,
,0200,mm,0,0,0,0,0,Length,Length,19,長さ,,,Länge,,,Longueur,,,长度,,,長度,,,길이,,,Longitud,Long.,,Длина,,,Comprimento,,,Uzunluk,,,Długość,,,Lunghezza,,,Longitud,Long.,,Lengte,,,ความยาว,,,,,,,1,1,UnitLen,
,0201,cm,2,0,0,0,0,Length,Length,19,長さ,,,Länge,,,Longueur,,,长度,,,長度,,,길이,,,Longitud,Long.,,Длина,,,Comprimento,,,Uzunluk,,,Długość,,,Lunghezza,,,Longitud,Long.,,Lengte,,,ความยาว,,,,,,mm_cm,10,0.1,,
,0202,m,2,0,0,0,0,Length,Length,19,長さ,,,Länge,,,Longueur,,,长度,,,長度,,,길이,,,Longitud,Long.,,Длина,,,Comprimento,,,Uzunluk,,,Długość,,,Lunghezza,,,Longitud,Long.,,Lengte,,,ความยาว,,,,,,mm_m,1000,1/1000.0,,
,0203,in,3,0,0,0,0,Length,Length,19,長さ,,,Länge,,,Longueur,,,长度,,,長度,,,길이,,,Longitud,Long.,,Длина,,,Comprimento,,,Uzunluk,,,Długość,,,Lunghezza,,,Longitud,Long.,,Lengte,,,ความยาว,,,,,,mm_in,25.4,1/25.4,,
,0204,ft,2,0,0,1,0,Length,Length,19,長さ,,,Länge,,,Longueur,,,长度,,,長度,,,길이,,,Longitud,Long.,,Длина,,,Comprimento,,,Uzunluk,,,Długość,,,Lunghezza,,,Longitud,Long.,,Lengte,,,ความยาว,,,,,,mm_ft,304.8,1/304.8,,
,0205,yd,2,0,0,0,0,Length,Length,19,長さ,,,Länge,,,Longueur,,,长度,,,長度,,,길이,,,Longitud,Long.,,Длина,,,Comprimento,,,Uzunluk,,,Długość,,,Lunghezza,,,Longitud,Long.,,Lengte,,,ความยาว,,,,,,mm_yd,914.4,1/914.4,,
,0300,kJ,2,1,1,0,0,Energy,Energy,19,熱量,,,Energie,,,Energie,,,能量,,,能量,,,열량,,,Energía,Energía,,Энергия,,,Energia,,,Enerji,,,Energia,,,Energia,,,Energía,Energía,,Energie,,,พลังงาน,,,,,,,1,1,UnitEnergy,
,0301,kWh,2,0,0,0,0,Energy,Energy,19,熱量,,,Energie,,,Energie,,,能量,,,能量,,,열량,,,Energía,Energía,,Энергия,,,Energia,,,Enerji,,,Energia,,,Energia,,,Energía,Energía,,Energie,,,พลังงาน,,,,,,kJ_kWh,3600,1/3600,,
,0302,kcal,2,0,0,0,1,Energy,Energy,19,熱量,,,Energie,,,Energie,,,能量,,,能量,,,열량,,,Energía,Energía,,Энергия,,,Energia,,,Enerji,,,Energia,,,Energia,,,Energía,Energía,,Energie,,,พลังงาน,,,,,,kJ_kcal,4.186,1/4.186,,
,0303,BTU,2,0,0,1,0,Energy,Energy,19,熱量,,,Energie,,,Energie,,,能量,,,能量,,,열량,,,Energía,Energía,,Энергия,,,Energia,,,Enerji,,,Energia,,,Energia,,,Energía,Energía,,Energie,,,พลังงาน,,,,,,kJ_BTU,1.055,1/1.055,,
,0400,W/m²·K,3,1,1,0,0,Heat-Transfer Coefficient ,Heat-Trans Coeff,19,熱伝達率,,,Wärmeübergangszahl,,,Coefficient de transfert de chaleur,,,传热系数,,,傳熱係數,,,열전달율,,,Coeficiente de Transferencia de Calor,Coef. Transf. Calor,,Коэффициент теплопередачи,,,Coeficiente de transferência de calor,,,Isı Transfer Katsayısı,,,Współczynnik wymiany ciepła,,,Coefficiente di scambio di calore,,,Coeficiente de transferencia de calor,Coef. transf. calor,,Warmte-overdracht coëfficiënt ,,,สัมประสิทธิ์การถ่ายเทความร้อน ,,,,,,,1,1,UnitHeatTrans,
,0401,kcal/hr·m²·°C,3,0,0,0,1,Heat-Transfer Coefficient ,Heat-Trans Coeff,19,熱伝達率,,,Wärmeübergangszahl,,,Coefficient de transfert de chaleur,,,传热系数,,,傳熱係數,,,열전달율,,,Coeficiente de Transferencia de Calor,Coef. Transf. Calor,,Коэффициент теплопередачи,,,Coeficiente de transferência de calor,,,Isı Transfer Katsayısı,,,Współczynnik wymiany ciepła,,,Coefficiente di scambio di calore,,,Coeficiente de transferencia de calor,Coef. transf. calor,,Warmte-overdracht coëfficiënt ,,,สัมประสิทธิ์การถ่ายเทความร้อน ,,,,,,Wm2K_kcalhrm2C,1/0.86,0.86,,
,0402,BTU/ft²·h·°F,3,0,0,1,0,Heat-Transfer Coefficient ,Heat-Trans Coeff,19,熱伝達率,,,Wärmeübergangszahl,,,Coefficient de transfert de chaleur,,,传热系数,,,傳熱係數,,,열전달율,,,Coeficiente de Transferencia de Calor,Coef. Transf. Calor,,Коэффициент теплопередачи,,,Coeficiente de transferência de calor,,,Isı Transfer Katsayısı,,,Współczynnik wymiany ciepła,,,Coefficiente di scambio di calore,,,Coeficiente de transferencia de calor,Coef. transf. calor,,Warmte-overdracht coëfficiënt ,,,สัมประสิทธิ์การถ่ายเทความร้อน ,,,,,,Wm2K_BTUft2hF,1/0.1761,0.1761,,
,0500,kJ/kg·K,5,1,1,0,0,Specific Heat,Specific Heat,19,比熱,,,Spez. Wärmekapazität,,,Chaleur spécifique,,,比热,,,比熱,,,비열,,,Calor Específico,Calor Esp.,,Удельная теплоемкость,,,Calor específico,,,Özgül Isı,,,Ciepło właściwe,,,Calore specifico,,,Calor específico,Calor esp.,,Soortelijke warmte,,,ความร้อนจำเพาะ,,,,,,,1,1,UnitSpecHeat,
,0501,kcal/kg·°C,3,0,0,0,1,Specific Heat,Specific Heat,19,比熱,,,Spez. Wärmekapazität,,,Chaleur spécifique,,,比热,,,比熱,,,비열,,,Calor Específico,Calor Esp.,,Удельная теплоемкость,,,Calor específico,,,Özgül Isı,,,Ciepło właściwe,,,Calore specifico,,,Calor específico,Calor esp.,,Soortelijke warmte,,,ความร้อนจำเพาะ,,,,,,kJkgK_kcalkgC,4.186,1/4.186,,
,0502,BTU/lb·°F,2,0,0,1,0,Specific Heat,Specific Heat,19,比熱,,,Spez. Wärmekapazität,,,Chaleur spécifique,,,比热,,,比熱,,,비열,,,Calor Específico,Calor Esp.,,Удельная теплоемкость,,,Calor específico,,,Özgül Isı,,,Ciepło właściwe,,,Calore specifico,,,Calor específico,Calor esp.,,Soortelijke warmte,,,ความร้อนจำเพาะ,,,,,,kJkgK_BTUlbF,4.186,1/4.186,,
,0600,m³,3,1,1,0,1,Volume,Volume,19,体積,,,Volumen,,,Volume,,,体积,,,體積,,,체적,,,Volumen,Vol.,,Объем,,,Volume ,,,Hacim,,,Objętość,,,Volume,,,Volumen,Vol.,,Volume,,,ความจุ,,,,,,,1,1,UnitVol,
,0601,mm³,3,0,0,0,0,Volume,Volume,19,体積,,,Volumen,,,Volume,,,体积,,,體積,,,체적,,,Volumen,Vol.,,Объем,,,Volume ,,,Hacim,,,Objętość,,,Volume,,,Volumen,Vol.,,Volume,,,ความจุ,,,,,,m3_mm3,1/1000000000,1000000000,,
,0602,cm³(=mL),3,0,0,0,0,Volume,Volume,19,体積,,,Volumen,,,Volume,,,体积,,,體積,,,체적,,,Volumen,Vol.,,Объем,,,Volume ,,,Hacim,,,Objętość,,,Volume,,,Volumen,Vol.,,Volume,,,ความจุ,,,,,,m3_cm3,1/1000000,1000000,,
,0603,dm³(=L),3,0,0,0,0,Volume,Volume,19,体積,,,Volumen,,,Volume,,,体积,,,體積,,,체적,,,Volumen,Vol.,,Объем,,,Volume ,,,Hacim,,,Objętość,,,Volume,,,Volumen,Vol.,,Volume,,,ความจุ,,,,,,m3_l,1/1000.0,1000,,
,0604,gal (UK),3,0,0,0,0,Volume,Volume,19,体積,,,Volumen,,,Volume,,,体积,,,體積,,,체적,,,Volumen,Vol.,,Объем,,,Volume ,,,Hacim,,,Objętość,,,Volume,,,Volumen,Vol.,,Volume,,,ความจุ,,,,,,m3_galUK,1/220,220,,
,0605,gal (US),3,0,0,1,0,Volume,Volume,19,体積,,,Volumen,,,Volume,,,体积,,,體積,,,체적,,,Volumen,Vol.,,Объем,,,Volume ,,,Hacim,,,Objętość,,,Volume,,,Volumen,Vol.,,Volume,,,ความจุ,,,,,,m3_galUS,1/264.2,264.2,,
,0606,in³,3,0,0,0,0,Volume,Volume,19,体積,,,Volumen,,,Volume,,,体积,,,體積,,,체적,,,Volumen,Vol.,,Объем,,,Volume ,,,Hacim,,,Objętość,,,Volume,,,Volumen,Vol.,,Volume,,,ความจุ,,,,,,m3_in3,1/61020,61020,,
,0607,ft³,3,0,0,1,0,Volume,Volume,19,体積,,,Volumen,,,Volume,,,体积,,,體積,,,체적,,,Volumen,Vol.,,Объем,,,Volume ,,,Hacim,,,Objętość,,,Volume,,,Volumen,Vol.,,Volume,,,ความจุ,,,,,,m3_ft3,1/35.31,35.31,,
,0608,yd³,3,0,0,0,0,Volume,Volume,19,体積,,,Volumen,,,Volume,,,体积,,,體積,,,체적,,,Volumen,Vol.,,Объем,,,Volume ,,,Hacim,,,Objętość,,,Volume,,,Volumen,Vol.,,Volume,,,ความจุ,,,,,,m3_yd3,1/1.308,1.308,,
,0609,barrel,3,0,0,0,0,Volume,Volume,19,体積,,,Volumen,,,Volume,,,体积,,,體積,,,체적,,,Volumen,Vol.,,Объем,,,Volume ,,,Hacim,,,Objętość,,,Volume,,,Volumen,Vol.,,Volume,,,ความจุ,,,,,,m3_barrel,1/6.29,6.29,,
,0700,m²,3,1,1,0,1,Area,Area,19,面積,,,Fläche,,,Surface,,,面积,,,面積,,,면적,,,Área,Área,,Площадь,,,Área,,,Alan,,,Powierzchnia,,,Area,,,Área,Área,,Gebied,,,พื้นที่,,,,,,,1,1,UnitArea,
,0701,mm²,3,0,0,0,0,Area,Area,19,面積,,,Fläche,,,Surface,,,面积,,,面積,,,면적,,,Área,Área,,Площадь,,,Área,,,Alan,,,Powierzchnia,,,Area,,,Área,Área,,Gebied,,,พื้นที่,,,,,,m2_mm2,1/1000000,1000000,,
,0702,cm²,3,0,0,0,0,Area,Area,19,面積,,,Fläche,,,Surface,,,面积,,,面積,,,면적,,,Área,Área,,Площадь,,,Área,,,Alan,,,Powierzchnia,,,Area,,,Área,Área,,Gebied,,,พื้นที่,,,,,,m2_cm2,1/10000,10000,,
